"";"Codigo";"X";"Y";"Pais";"Clase";"Cita";"Fecha";"Autor(es)";"year";"Titulo";"Palabras Clave";"Resumen";"Tematica";"Link";"Tipo";"filtroE";"filtroP";"Bioma"
"127";"art127";-4,575455;-81,277814;"Perú";"AVES";"William and Olson 2014";NA;"William S; Olson S";2014;"A new fossil species of small crested caracara (Aves: Falconidae: Caracara) from the Pacific lowlands of western South America.";"Caracara seymouri; Ecuador; extinction; fossil birds; La Carolina; Peru; Pleistocene; Talara Tar Seeps";"A new species of small crested caracara; Caracara seymouri; from Quaternary asphalt deposits of the Talara Tar Seeps; northwestern Peru; is described from most major elements of the skeleton. Specimens reported in the literature from late Pleistocene deposits at La Carolina; Ecuador; are referred to the same species. These fossils had previously been identified as Polyborus (now Caracara) plancus; but they possess a combination of characters not present in the living species of caracaras; C.  plancus or C. cheriway and are from a much smaller and more gracile bird. Caracara seymouri is similar in size to the extinct species C.  Creightoni from the Bahamas and Cuba but differs in having the skeletal elements less robust; especially the premaxilla. This is the second paleo species described for the genus Caracara in the Quaternary of South America.";"Ecología";"NA";"Artículo";"Tumbes-Piura dry forests";"Peru";"Bosques secos"
"128";"art128";-5,548889;-80,698228;"Perú";"AVES";"Torres and Franke 2008";"7/21/2008";"Torres M; Franke I";2008;"Reporte de albinismo en Podiceps major; Pelecanus thagus y Cinclodes fuscus y revisión de aves silvestres albinas del Perú.";"Albinism; Podiceps major; Pelecanus thagus; Cinclodes fuscus";"We report observations of albino individuals in three species of Peruvian birds; Great Grebe (Podiceps major); Peruvian Pelican (Pelecanus thagus) and Bar-winged Cinclodes (Cinclodes fuscus). These were all three mostly white partial albinos; apparently adult birds that showed normal behavior among normal conspecific individuals. Survival after several months was confirmed for the Peruvian Pelican and the Bar-winged Cinclodes. Since published information on albinism in Peruvian birds is very scarce; a revision was made and records for nine other species were compiled and are also presented.";"Conservación";"http://www.scielo.org.pe/pdf/rpb/v15n1/a16v15n1.pdf";"Artículo";"Tumbes-Piura dry forests";"Peru";"Bosques secos"
"129";"art129";-3,559296;-80,427112;"Perú";"AVES";"Ugarte et al. 2010";"12/14/2010";"Ugarte M; Tabini A; Cáceres D";2010;"Expansión de la distribución de Nyctanassa violacea (Ardeidae: Aves) en Perú";"Expansion; Yellow-crowned Night-heron; Nyctanassa violacea; coastal wetlands; Peru";"The present work reports the expansion of the distribution of the Yellow-crowned Night-heron Nyctanassa violacea in Peru; in three coastal departments; between 2002 and 2010; as well the new nesting records. We analyze the possible causes of dispersion of the species in Peru.";"Conservación";"http://www.scielo.org.pe/pdf/rpb/v17n2/a17v17n2.pdf";"Artículo";"Tumbes-Piura dry forests";"Peru";"Bosques secos"
"130";"art130";-5,5;-80,866667;"Perú";"AVES";"Valega 2007";"38756";"Valega R";2007;"Avifauna of a relict mangrove forest in San Pedro;dpto. Piura; Peru";"No aplica";"The San Pedro mangrove relict is located in the northwestern Peruvian desert and represents a forest association with a total area of 1;200 ha that constitutes the southern limit of the mangrove ecosystem of the Pacific coast in continental America. The vegetation and ecological zoning of the study area has been characterized to establish the preference of the species for the different habitats.  In this area 139 species of birds have been found; 102 resident and 37 migratory; five are endemic to Peru; and 15 are restricted to the coast of Ecuador and Peru. The most notable species are mentioned; including visitors during El Niño events. A list of the birds is presented with information on their preference for different habitats; abundance; seasonal status and evidence on the occurrence of the species.";"Diversidad";"https://www.neotropicalbirdclub.org/wp-content/uploads/2015/05/C27-Valega.pdf";"Artículo";"South American Pacific mangroves";"Peru";"Bosques secos"
"131";"art131";-3,559296;-80,427112;"Perú";"AVES";"Vallejos et al. 2017";NA;"Vallejos L; Saldaña I; Nuñez E; García-Bravo A; Vecchi M";2017;"New records and probable migration routes of the Sora Porzana carolina (Aves: Rallidae) in Peru.";"Andean wetlands; Boreal migration; Nearctic migrant; north Peru; Rail; wintering";"The Sora Porzana carolina is the most abundant rail of North America; and historical records (1877–1994) indicate Peru as the southern limit of its wintering (October–May) range.  Here; we present data from three consecutive austral summers (February/2014 to March/2016) recording this species on wetlands in north Peru; which fill a geographic gap of approximately 1000 km between Tumbes and Lima regions. Based on our records and secondary sources for South America; we indicate that Sora probably follows two parallel migration routes in western South America: the Pacific Coast and the Andean routes. Another recent study recorded Sora in Cusco province; which suggests that Peruvian Andes wetlands may currently becoming more important as non-breeding sites for Nearctic migrant waterbirds. Unlike the sites of historical records of Sora in Peru; the wetlands on which this rail was recently recorded have no legal protection; deserving management policies and continued monitoring.";"H.Natural";"NA";"Artículo";"Tumbes-Piura dry forests";"Peru";"Bosques secos"
"132";"art132";-3,503756;-80,390908;"Perú";"AVES";"Valqui and Walker 2002";NA;"Valqui T; Walker B";2002;"Importance of mangrove forest in Peru with notes on Bare-throated Tiger-heron Tigrisoma mexicanum and Rufous-necked Wood-rail Aramides axillaris.";"No aplica";"Peru has a relatively small area of mangrove forest (0.1% of the total area in the Neotropics); which is located at the southern limit of this ecosystem in the Pacific Ocean. This could imply that its conservation is only of national interest. However; in an analysis by country of the number of mangrove specialist birds; carried out on the Neotropical Pacific coast; we noted a homogeneity that is not proportional to the mangrove area in each country. Given the rapid fragmentation to which this ecosystem is being subjected; both locally and globally; it is urgent to intensify studies on its birds and efforts to conserve it. The presence of two bird species is documented in the mangroves of Peru (mainly El Algarrobo); with diverse implications: Tigrisoma mexicanum has an isolated population in the Peruvian mangrove forest 1300 km from its known distribution; while A ram ides axillaris has been expanding its distribution to reach the Peruvian mangrove forest around the 1980s. These records should encourage the planning of more detailed inventories in Peruvian mangroves and highlight the importance of this small area globally.  Finally; we emphasize the need and importance of properly documenting the records.";"Distribución";"https://www.neotropicalbirdclub.org/wp-content/uploads/2016/05/Cotinga-18-2002-58-61.pdf";"Artículo";NA;NA;"Bosques lluviosos"
"133";"art133";-6,437813;-80,859788;"Perú";"AVES";"van Oordt et al. 2017";NA;"van Oordt F; Torres-Mura J; Hertel F";2017;"Ecomorphology and foraging behaviour of Pacific boobies.";"character displacement; ecomorphology; relative warp analysis; seabirds; wing shape";"Wing size and shape; expressed as wing loading and aspect ratio respectively; to get her with bill morphology are parameters that can reveal differences related to the foraging ecology of seabirds. Six species of booby (Sulidae) that inhabit the Pacific are the focus of this study: four mainly pelagic species; Masked Booby Sula dactylatra; Nazca Booby Sula granti; Red-footed Booby Sula sula and Brown Booby Sula leucogaster; and two coastal species; Blue-footed Booby Sula nebouxii and Peruvian Booby Sula variegata. Pelagic boobies showed segregation among species in body mass and relative bill size; and they differed in wing morphology (wing loading and aspect ratio) from the coastal boobies. The coastal Peruvian and Blue-footed Boobies are largely allopatric but overlap in northern Peru. In their area of sympatry; they showed evidence of character displacement in body size and in wing and bill morphology; which suggests that competition plays an important role in sympatry. This study improves our understanding of ecological interactions among Pacific boobies and of how selective pressures have shaped their eco-morphology and foraging behaviours.";"Ecología";"NA";"Artículo";NA;NA;"Bosques lluviosos"
"134";"art134";-6,437813;-80,859788;"Perú";"AVES";"Velado 2017";NA;"Velando A";2017;"Experimental manipulation of maternal effort produces differential effects in sons and daughters: implications for adaptive sex ratios in the blue-footed booby";"blue-footed boobies; maternal investment; physical condition; sex allocation; sex ratios; Sula nebouxii";"Sex allocation theory predicts that mothers in good condition should bias their brood sex ratio in response to the differential benefits obtained from increased maternal expenditure in sons and daughters. Although there is well-documented variation of offspring sex ratios in several bird species according to maternal condition; the assumption that maternal condition has different fitness consequences for male and for female offspring remains unclear.  The blue-footed booby (Sula nebouxii) is a sexually size-dimorphic seabird; with females approximately 31% heavier than males.  It has been reported that the sex ratio is male biased in years with poor feeding conditions; which suggests that either females adjust their sex ratio in accordance with their condition or that they suffer differential brood mortality before their sex can be determined. In this study I tested whether the condition of mothers affected their daughters’ fitness more than their sons’ fitness.  I manipulated maternal investment by trimming the flight feathers and thereby handicapping females during the chick-rearing period. Adult females in the handicapped group had a poorer physical condition at end of chick growth; as measured by mass and by the residuals of mass on wing length compared to control birds. Female chicks were affected by the handicapping experiment; showing a lower mass and shorter wing length (reduced approximately 8% in both measures) than controls. However; this effect was not found in male chicks. Hatching sex ratios were also related to female body condition at hatching. The brood sex ratio of females in poor condition was male biased but was female biased for females in good condition. Overall; these results suggest that the variation in the sex ratio in blue-footed boobies is an adaptive response to the disadvantage daughters face from being reared under poor conditions.";"Ecología";"NA";"Artículo";NA;NA;"Bosques lluviosos"
"135";"art135";-6,437813;-80,859788;"Perú";"AVES";"Velando and Alonso-Alvarez 2003";NA;"Velando A; Alonso-Alvarez C";2003;"Differential body condition regulation by males and females in response to experimental manipulations of brood size and parental effort in the blue-footed booby.";"body mass threshold; brood size manipulation; handicapped males; sex-related breeding effort; Sula nebouxii";"In long-lived species; such as seabirds; the allocation of resources between self-maintenance and reproduction is of particular interest because only a small reduction in adult survival may have a large negative effect on lifetime reproductive success. There is much debate about whether seabirds have a <U+FB01>xed or <U+FB02>exible level of investment in their current reproduction; and it has been proposed that parents can regulate the risk of an increase in mortality under the control of a mass threshold. Body mass change as response to experimental manipulations of parental effort was examined in blue-footed boobies (Sula nebouxii Mine-Edwards); a sexually size-dimorphic seabird; with females approximately 31% heavier than males. First; paternal effort was manipulated by trimming the <U+FB02>ight feathers and thereby handicapping males during the chick-rearing period. Mass remained stable in handi-capped males; while there was a reduction of female body mass as response to the handi-capped partner. The handicapping of males had a signi<U+FB01>cant effect on chick mass. Secondly; an experiment was made by enlarging and decreasing broods of two chicks to three and one during the <U+FB01>rst week after hatching. Body mass of females; but not males; was lower in enlarged broods; and body mass of males; but not females; was higher in the reduced broods when the chicks were 45 days old. Chick body masses were lower among enlarged broods than among reduced and control broods. Overall; these and other results revealed that blue-footed boobies have a sex-speci<U+FB01>c body mass regulation. Males had a <U+FB01>xed body mass at the end of experiments; they were working at some physiological maximum or were unwilling to pay the cost in terms of future survival; when the effort demanded was increased. Females performed a <U+FB02>exible effort and were working with a buffer of nutritional reserves that they used when necessary. Below a critical level; females preferentially allocated resources to the maintenance of their body condition at the expense of investment in current reproduction.";"Ecología";"NA";"Artículo";NA;NA;"Bosques lluviosos"
"136";"art136";-5,209906;-81,20576;"Perú";"AVES";"Vianna et al. 2014";"5/15/2014";"Vianna J; Cortes  M; Ramos B; Sallaberry-Pincheira N; González-
Acuña D; Dantas G; Morgante J; Simeone A; Luna-Jorquera G";2014;"Changes in abundance and distribution of Humboldt Penguin Spheniscus humboldti.";"Humboldt Penguin; distribution; El Niño; population size";"Patterns  of  species  abundance  distribution  (SAD)  are  driven  by  a  given  species’  physiology;  life  history  attributes  and  environmental  variables; and this is true of the Humboldt Penguin Spheniscus humboldti. Climate variability such as El Niño Southern Oscillation (ENSO) has impacted this species and other marine fauna in the eastern South Pacific Ocean. After reviewing manuscripts and reports; we identified 80 Humboldt Penguin breeding colonies; distributed from La Foca Island (05°12'S; 81°12'W) in Peru to Metalqui Island (42°12'S; 74°09'W) in Chile; but reduced the number to 73 after fieldwork surveys in northern Chile. At least three Humboldt Penguin colonies at the southern end  of  the  Humboldt  Penguin’s  range  also  include  Magellanic  Penguins  S.  magellanicus.  The  Humboldt  Penguin  population  of  the  main  breeding colony in Peru; Punta San Juan; decreased 51% from 1980 to 2008; with notable decreases during El Niño. On the other hand; the population of Chañaral Island to the south increased 89% during the same period; which could be a result of irruption from more northern populations  as  well  as  past  underestimation.  The  SAD  does  not  follow  the  expected  unimodal  log-normal  shaped  model;  and  its  shape  has recently shifted significantly southward. This change is consistent with the species’ pattern of long distance movement during ENSO; reduced  population  genetic  structure  and  long-distance  gene  flow  between  colonies;  indicating  the  absence  of  philopatry;  a  decrease  in  population size in the main colonies in Peru and an increase in population size in colonies along northern Chile. The change in SAD might result from interactions between consecutive El Niño events; human activities and climate change. To better understand this pattern; further studies are required in population genetic structure; species physiology; and environmental variables in space and time.";"Distribución";"http://www.marineornithology.org/PDF/42_2/42_2_153-159.pdf";"Artículo";NA;NA;"Bosques lluviosos"
"137";"art137";0,364474;-79,686063;"Perú";"AVES";"Vieira 2015";"3/30/2015";"Vieira B";2015;"Population trends and conservation of the Mangrove Rail.";"Density; occupancy; Clapper Rail; Rallus longirostris; mangrove; South America";"The Mangrove Rail occupies only mangrove areas in South America. Though present in one of the most endangered forests in the world; there is little data available on the Mangrove Rail. In this paper; I present local population trends and the latest population density estimates for the Mangrove Rail in an urban mangrove area based on two years offieldwork conducted on the Island of Santa Catarina; southern Brazil. I have also revised the global conservation status of the Mangrove Rail based on literatureand specimen records. Surveys were conducted monthly at 10 stations along a 4 km-transect. The maximum number of individualsdetected  was  17  (2012).  Totaldensity  was  around  2  rails/ha;  although  a  significant  increase  in  population  occurred when  thesurveyed area developed from 8.7 ha to 43 ha. A strong relationship between the presence of rails records and mangrove extension was observed and already expected. Altogether; the Mangrove Rail occurs in an extent of 19;615 km² and an area of 12;455 km² in South America; strictly associated with mangrove forests under severe pressure by deforestation; therefore qualifying as Vulnerableat  a  globallevel  according  to  IUCN  criteria.  The  results  presentedherein  reinforce  the  importance  of  preserved  wetlands for  the conservation of the Mangrove Rail as well as of mangrove restoration initiatives since even areas of human intervention can be a good alternative to future adaptive management strategies and the conservation of this endangered species.";"Distribución";"https://link.springer.com/content/pdf/10.1007/BF03544301.pdf";"Artículo";"Western Ecuador moist forests";"Ecuador";"Bosques lluviosos"
"138";"art138";-3,810672;-80,321311;"Perú";"AVES";"Walker 2002";NA;"Walker B";2002;"Observations from the Tumbes Reserved Zone; dpto. Tumbes; with notes on some new taxa for Peru and a checklist of the area.";"No aplica";"The Northeastern Biosphere Reserve is one of the most important conservation units in Peru. This article presents new data from the Tumbes Reserved Zone; mainly based on observations made between April 6-16; 2000. Other visits (in December 1988; May 1996; June 1999 and January 2001) and the existing bibliography are also used as references. Data are presented on species new to Peru; and the first documentation for others - Penelope purpurascens; Leptotila pallid a; Pteroglossus erythropygius; Picumnus olivaceus; Thamnophilus atrinucha and Tangara icterocephala and conservation issues are discussed. Recommendations are made for continued forest protection and comparisons are made with neighboring; heavily disturbed Ecuadorian territory. A complete list of bird species recorded for the reserved zone is presented in an appendix.";"Diversidad";"https://www.neotropicalbirdclub.org/wp-content/uploads/2016/05/Cotinga-18-2002-37-43.pdf";"Artículo";"Eastern Cordillera real montane forests";"Peru";"Bosques secos"
"139";"art139";-6,437813;-80,859788;"Perú";"AVES";"Zavalaga et al. 2007";"4/27/2007";"Zavalaga C; Benvenuti S; Dall’Antonia L; Emslie S";2007;"Diving behavior of blue-footed boobies Sula nebouxii in northern Peru in relation to sex; body size and prey type.";"Foraging niche segregation; Blue-footed boobies; Sula nebouxii; Sexual dimorphism; Diving behavior; Peruvian anchovies";"We studied the diving behavior and diet of the sexually size-dimorphic blue-footed booby Sula nebouxii (BFB) breeding on Isla Lobos de Tierra; Peru; to evaluate whether sexual dimorphism is associated with feeding niche divergence between the sexes. We also discuss the foraging behavior of BFBs in relation to what is known about the vertical distribution of their main prey and compare the BFB’s foraging behavior with that of other tropical and temperate Sulidae. After analyzing data on 23 females and 28 males; we found no sexual differences in diet composition; crop mass; trip length; number of trips per day; proportion of time in flight and on the water; and number of dives per hour. We argue that this is because males and females were foraging in the same areas close to their colony. Conversely; females dived significantly deeper and longer; and consumed larger prey than males indicating that segregation may occur underwater. Body size (regardless of sex) was positively correlated to dive depth and prey size; suggesting that feeding niche separation is mediated by size dimorphism. However; the effects of body size and sex on foraging behavior could not be separated. BFBs and larger temperate gannets attained similar depths; but BFBs dived much deeper than did tropical boobies. The Peruvian anchovy Engraulis ringens was the most important prey consumed by BFBs; accounting over 79 to 97% of the total mass of the regurgitations. The temporal distribution of dives and dive profiles seems to be linked to the behavior and vertical distribution of anchovies.";"H.Natural";"https://www.int-res.com/articles/meps2007/336/m336p291.pdf";"Artículo";NA;NA;"Bosques lluviosos"
"140";"art140";-6,437813;-80,859788;"Perú";"AVES";"Zavalaga et al. 2008";NA;"Zavalaga C; Benvenuti S; Dall’Antonia L; Emslie S";2008;"Foraging areas of breeding blue-footed boobies Sula nebouxii in northern Peru; as determined by direction recorders.";"No aplica";"The association between the distribution of blue-footed boobies Sula nebouxii (BFB) and marine productivity around their breeding grounds is unclear.  In Peru; they breed in a region seasonally influenced by the cold; nutrient rich Humboldt Current; and by warm; nutrient poor oceanic waters.  The foraging range of BFB in Peru is unknown; although some evidence suggest that they may feed in warm offshore waters. During the austral winter 2002 and summer2003; we tracked 26 BFBs breeding on Isla Lobos de Tierra; Peru (located approximately 15 km west of the mainland); during 59 feeding trips using small direction recorders to determine their marine habitat use. BFBs preferentially moved to the east of the island and foraged over the continental shelf in cold water masses where marine productivity and the abundance of the main prey; the Peruvian anchovy Engraulis ringens; are usually higher than in other areas. Overall; the median maximum foraging distance from the colony was 39 km (range 3 109 km); with 90% of all trips located within30 km from the mainland; and enclosed in an area of 13;113 km2. These results reveal that BFBs exploit the productive waters of the Peruvian Coastal Upwelling System; rather than open oceanic waters as previously suggested. BFBs travelled a greater distance; dispersed in a broader area; and visited more offshore waters during the winter 2002; than during the summer 2003; following the typical seasonal horizontal dispersion of the Peruvian anchovy.";"H.Natural";"NA";"Artículo";NA;NA;"Bosques lluviosos"
"141";"art141";-6,437813;-80,859788;"Perú";"AVES";"Zavalaga et al. 2011";NA;"Zavalaga C; Dell’Omo G; Becciu P; Yoda K";2011;"Patterns of GPS tracks suggest nocturnal foraging by incubating Peruvian Pelicans (Pelecanus thagus).";"No aplica";"Most seabirds are diurnal foragers; but some species may also feed at night. In Peruvian pelicans (Pelecanus thagus); the evidence for nocturnal foraging is sparse and anecdotal. We used GPS-dataloggers on five incubating Peruvian pelicans from Isla Lobos de Tierra; Peru ´; to examine their nocturnality; foraging movements and activities patterns at sea. All instrumented pelicans undertook nocturnal trips during a 5–7day tracking period. Eighty-seven percent of these trips (n = 13) were strictly nocturnal; whereas the remaining occurred during the day and night. Most birds departed from the island after sunset and returned a few hours after sunrise. Birds traveled south of the island for single-day trips at a maximum range of 82.8 km. Overall; 22% of the tracking period was spent at sea; whereas the remaining time was spent on the island. In the intermediate section of the trip (between inbound and outbound commutes); birds spent 77% of the trip time in floating bouts interspersed by short flying bouts; the former being on average three times longer than the latter. Taken together; the high sinuosity of the bird’s tracks during floating bouts; the exclusively nocturnal trips of most individuals; and the fact that all birds returned to the island within a few hours after sunrise suggest that pelicans were actively feeding at night. The nocturnal foraging strategy of Peruvian pelicans may reduce food competition with the sympatric and strictly diurnal Guanay cormorants (Phalacrocorax bougainvillii); Peruvian boobies (Sula variegata) and Blue-footed boobies (S. nebouxii); which were present on the island in large numbers. Likewise; plankton bioluminescence might be used by pelicans as indirect cues to locate anchovies during their upward migration at night. The foraging success of pelicans at night may be enhanced by seizing prey close to the sea surface using a sit-and-wait strategy.";"H.Natural";"NA";"Artículo";NA;NA;"Bosques lluviosos"
"142";"art142";-3,5;-79,866667;"Perú";"AVES";"Zavalaga et al. 2002";"37298";"Zavalaga C; Frere E; Gandini P";2002;"Status of the Red-legged Cormorant in Peru: what factors affect distribution and numbers?";"Red-legged Cormorants; Phalacrocorax gaimardi; El Niño; ENSO; census; population; conservation; Peru";"The distribution and abundance of Red-legged Cormorants (Phalacrocorax gaimardi) were assessed by visiting 42 localities on the mainland and surveying most of the islands along Peru's 2;500 km coastline between October 1999 and December 2000. Cormorants were distributed in small discrete groups (Mode = 5 birds; range 1- 69) from Isla Foca (5'12'S) to Morro Sama (18?0'S). The southern (56% of the total numbers) and central (34%) coast held a larger proportion of cormorants than did the northern region (10%). Birds were mainly located in un- protected areas; either on islands (6%) or on the mainland (51%). The remainder was found in protected areas; either guano bird islands (27%); guano bird headlands (3%) or within the Paracas Reserve (13%). We counted 658 birds (95% adults; 5% juveniles); but based on bird density; availability of suitable habitats and cliff lengths we predicted a total of 1;803 + 282 birds in Peru. Red-legged Cormorants built their nests on narrow ledges on vertical rocky walls falling sheer to the sea; located; on average; 17.8 m (range = 3-50; N = 56) above the sea level on open cliffs; high-up in sea cave entrances or on small islets. They have undergone a spectacular decline over the last 30 years. Between 1968 and 1999-2000; the numbers at ten localities in the northern and central coast decreased from 3;229 to 69 birds. It is likely that low numbers recorded in this study reflect the devastating effects of the strong El Niño Southern Oscillation (ENSO) of 1997-98; as numbers prior and after this event at eight southern localities decreased by 73%. Because of the inaccessibility of their nesting and roosting sites and the lack of natural predators; Red-legged Cormorants are apparently not in danger at such sites. However; entanglement in fishing nets; competition for food in inshore waters; pollution; human disturbance and harvesting of kelp banks are potential threats at sea and could affect the population recovery.";"Ecología";"https://www.jstor.org/stable/1522265?seq=1";"Artículo";"Tumbes-Piura dry forests";"Ecuador";"Bosques secos"
"143";"art143";-6,437813;-80,719102;"Perú";"AVES";"Zavalaga et al. 2010";"1/28/2010";"Zavalaga C; Halls J; Dell’Omo G";2010;"Marine habitat use of Peruvian boobies: a geographic andoceanographic comparison between inshore and offshore islands";"GIS; GPS-tracking; habitat use; Peruvian booby; remote-sensing; Sula variegata";"Foraging areas of Peruvian boobies (Sula variegata) from Isla Lobos de Tierra (LT; inshore) and Isla Lobos de Afuera (LA; offshore) were overlaid with concurrent data on wind patterns and remotely sensed hydrographic features to identify the main abiotic factors that affect booby distribution and to compare habitat use between birds from inshore and offshore islands. Birds used across winds and across headwinds when commuting to their feeding grounds and across tailwinds when returning to their colonies. This strategy increased flight speeds by 38–53% in relation to headwinds; probably resulting in a reduction in energy costs when birds returned to their nests with heavy loads of food. Sea surface temperature of the foraged and the available areas were similar around LT and LA. Boobies from LT fed over the continental shelf and alongshore in areas with chlorophylla (Chla) concentration higher than expected from a random distribution. Conversely; birds from LA never came inshore; feeding over the shelf break and in waters with concentrations of Chla similar to those in the available area. Remote-sensing measurements of primary productivity predicted the distribution of Peruvian boobies only for LT. Plumes of enriched water alongshore are formed during the austral summer; favouring the aggregation of anchoveta (Engraulis ringens); the main prey of Peruvian boobies. Boobies from LA may have potentially foraged inshore in an area also used by birds from LT; but it is likely that competition for food and energy constraints to raise three-chick broods restricted foraging range to waters far from the mainland.";"Ecología";"NA";"Artículo";NA;NA;"Bosques lluviosos"
"144";"art144";-6,437813;-80,719102;"Perú";"AVES";"Zavalaga et al. 2010";"40394";"Zavalaga C; Halls J; Mori G; Taylor S; Dell’Omo G";2010;"At-sea movement patterns and diving behavior of Peruvian boobies Sula variegata in northern Peru.";"Anchoveta; Diving behavior; GIS; GPS tracking; Peruvian booby; Sexual size dimorphism; Spatial segregation; Sula variegata";"GPS loggers and time-depth recorders were used to characterize the foraging behavior of the sexually dimorphic Peruvian booby Sula variegate on 2 islands in northern Peru. We evaluated whether (1) its foraging behavior differed from tropical boobies and temperate gannets (the Peruvian boobies feed in areas of enhanced productivity and high fish density); and (2) females and male sexploited different foraging habitats as a consequence of size dimorphism. Birds foraged only during daylight hours; 1 to 3 times a day; in trips of short duration (median = 1.8 h). Overall; 92% of the total foraging time was spent flying. They fed exclusively on anchovetas Engraulis ringens; which were captured in shallow dives (median = 2.5 m; max = 8.8 m) with a dive median rate of 11 dives h–1(max = 37 dives h–1). The median foraging range was 25 km (max = 68 km); whereas the median total distance traveled was 69 km (max = 179 km). Foraging site fidelity was high; and the orientation of foraging flights in any given day was similar among birds that departed at the same time. There were no sex-specific differences in 13 of 15 foraging variables; however; females dived slightly deeper and spent a larger proportion of time sitting on the water. We speculate that (1) the foraging behavior of Peruvian boobies contrasts with that of their tropical and temperate relatives as a result of the proximity and predictability of food sources; elevated energetic demands of the brood (up to 4 chicks) and high prey encounter rate in the Peruvian upwelling system; and (2) the lack of spatial segregation between sexes may be related to the attraction of birds to feeding aggregations that are formed in the vicinity of the colonies.  Once the foraging patches are localized; females dive deeper because of passive mechanisms associated with a heavier mass.";"Ecología";"https://www.int-res.com/articles/meps2010/404/m404p259.pdf";"Artículo";NA;NA;"Bosques lluviosos"
"145";"art145";-5,861836;-79,866667;"Perú";"AVES";"Zavalaga et al. 2009";NA;"Zavalaga C; Hardesty J; Mori G; Chávez-Villavicencio C; Tello A";2009;"Current status of Peruvian Terns Sternula lorata in Perú: threats; conservation and research priorities.";"No aplica";"Peruvian Terns Sternula lorata breed in the sand desert plains of the coast of Peru and northern Chile.   Because   of   their   long-term   population   decline; Peruvian   Tern   is   categorized   as “Endangered” on the IUCN Red List. The observations that formed the basis for that decision were made in the1970s and1990s.  In this study; we compile information on distribution; numbers; habitat use and threats of Peruvian Terns that has become available between2003and2008 from14 localities on the Peruvian coast.  Peruvian Tern sites are located between the mangroves of San Pedro de Vice in the north (5°31’S) and the wetlands of Ite in the south(17°56’S). From the 14 locations; five are reported for first time: Virrila ´; Eten; Huanchaco; isla Mazorca and Ite.  There were only four active breeding sites:  Pacasmayo; Paraiso; Pampa Lechuzas and Tres Hermanas-Yanyarina; however; some localities were visited outside the breeding season and should be surveyed between October and February to search for nests. The presence of283individuals was confirmed at the14sites in an area of approximately1;388ha (which represents only0.35% of the total suitable area for nesting along the Peruvian coast). Thus; the number of Peruvian Terns in Peru ´  should increase with systematic surveys. Here for the first time we report the importance of wetlands for the Peruvian Terns (43% of the sigh tings occurred in this habitat). Wetlands can offer optimal conditions for feeding; but the cost of using them is becoming higher with a sharp increase of human expansion into coastal areas and urban development around wetlands. We identified the following threats affecting Peruvian Terns on their feeding and breeding grounds:1) recreational activities;2) off-road driving by fishermen and tourists;3) wetland pollution and water use for irrigation;4) conversion of desert plains to agricultural land;5) management of wetland water levels;6) presence of feral cats and dogs; and7) oil exploration on the desert plains. These adverse factors can be eradicated by the protection of tern sites and public awareness and education. Conservation actions; monitoring and research priorities are suggested.";"H.Natural";"NA";"Artículo";"Tumbes-Piura dry forests";"Peru";"Bosques secos"
"146";"art146";-6,437813;-80,719102;"Perú";"AVES";"Zavalaga et al. 2009";"6/20/2009";"Zavalaga C; Taylor S; Dell’Omo G; Anderson D; Friesen V";2009;"Male/female classification of the Peruvian Booby.";"No aplica";"We studied adult Peruvian Boobies (Sula variegata) on two islands in northern Peru to classify males and females using DNA-based techniques. We used this information to (1) assess the extent of size dimorphism in this species; (2) identify males and females using discriminant functions of external characters; and (3) validate use of voice as a reliable method for identifying male and female Peruvian Boobies in the field. Female Peruvian Boobies were 19%heavier and their culmens and wings were 3 and 4%larger than males; respectively. A discriminant function that included body weight and wing chord correctly classified 90%of the birds. Alternatively; 88%of correct identification of males and females was obtained with a function that incorporated only wing chord. Whistles were performed exclusively by males (25/25 of cases); whereas grunts or goose-like honk vocalizations were performed only by females (24/24 of cases). The female-larger size dimorphism of Peruvian Boobies is intermediate in comparison to other Sula boobies. Calls and biometry provide a fast; reliable; and inexpensive method for classifying most adult Peruvian Boobies as males or females in the field.  Were commend a hierarchical system for classification of male and female Peruvian Boobies: (1) use of vocalizations; (2) use of body weight and wing chord when the bird did not vocalize and was weighed immediately after daybreak or before the first feeding trip of the day; and (3) use of wing chord only when there is uncertainty in temporal variations of body weight.";"Ecología";"NA";"Artículo";NA;NA;"Bosques lluviosos"
"147";"art147";-0,714028;-79,458041;"Ecuador";"AVES";"Chapman 1921";"09/22/1921";"Chapman F";1921;"Descriptions of proposed new birds from Colombia; Ecuador; Peru; and Brazil.";"No aplica";"No aplica";"Conservación";"http://digitallibrary.amnh.org/bitstream/handle/2246/4601/N0018.pdf?sequence=1";"Artículo";"Western Ecuador moist forests";"Ecuador";"Bosques lluviosos"
"148";"art148";-6,82612e-07;-79,610905;"Ecuador";"AVES";"Chapman 1922";"02/28/1922";"Chapman F";1922;"The distribution of the swallows of the genus Pygochelidon. American Museum novitates";"No aplica";"No aplica";"Distribución";"http://digitallibrary.amnh.org/bitstream/handle/2246/4588/N0030.pdf?sequence=1";"Artículo";"Western Ecuador moist forests";"Ecuador";"Bosques lluviosos"
